TIMESTAMP CPU% MEM% MEM_RSS_KB
2026-04-17 04:00:17 0.0 0.0 1672
2026-04-17 04:00:18 0.0 0.0 1672
2026-04-17 04:00:19 0.0 0.0 1672
2026-04-17 04:00:20 0.0 0.0 1672
2026-04-17 04:00:21 0.0 0.0 1672
2026-04-17 04:00:22 0.0 0.0 1672
2026-04-17 04:00:23 0.0 0.0 1672
2026-04-17 04:00:24 0.0 0.0 1672
2026-04-17 04:00:25 0.0 0.0 1672
2026-04-17 04:00:26 0.0 0.0 1672
2026-04-17 04:00:27 0.0 0.0 1672
2026-04-17 04:00:28 0.0 0.0 1672
2026-04-17 04:00:29 0.0 0.0 1672
2026-04-17 04:00:30 0.0 0.0 1672
2026-04-17 04:00:31 0.0 0.0 1672
2026-04-17 04:00:32 0.0 0.0 1672
2026-04-17 04:00:33 0.0 0.0 1672
2026-04-17 04:00:34 0.0 0.0 1672
2026-04-17 04:00:35 0.0 0.0 1672
2026-04-17 04:00:36 0.0 0.0 1672
2026-04-17 04:00:37 0.0 0.0 1672
2026-04-17 04:00:38 0.0 0.0 1672
2026-04-17 04:00:39 0.0 0.0 1672
2026-04-17 04:00:40 0.0 0.0 1672
2026-04-17 04:00:41 0.0 0.0 1672
2026-04-17 04:00:42 0.0 0.0 1672
2026-04-17 04:00:43 0.0 0.0 1672
2026-04-17 04:00:45 0.0 0.0 1672
2026-04-17 04:00:46 0.0 0.0 1672
2026-04-17 04:00:47 0.0 0.0 1672
